,year,age,sex,college,No. of persons,hours,income,class,Opinion,weight
391,2002,25,male,degree,3,16,$25000 or more,middle class,above average,1.6734
392,2006,28,female,degree,2,42,$15000 - 19999,working class,below average,0.4297
393,1980,39,male,no degree,4,40,$20000 - 24999,middle class,average,1.0225
394,2008,23,male,no degree,1,50,$25000 or more,working class,average,0.437744751
395,1998,30,male,degree,3,60,$20000 - 24999,working class,below average,1.1001
396,1982,25,female,degree,3,35,$10000 - 14999,middle class,average,1.5478
397,1988,26,female,no degree,4,40,$20000 - 24999,working class,average,1.594
398,1977,32,male,no degree,1,40,$10000 - 14999,working class,below average,0.4941
399,2018,51,female,no degree,1,40,$20000 - 24999,working class,above average,0.471498555
400,1986,30,male,no degree,4,40,$15000 - 19999,working class,below average,1.0072
401,1985,51,male,no degree,3,19,$20000 - 24999,working class,below average,1.5544
402,1974,64,male,no degree,3,40,$7000 to 7999,working class,below average,0.932
403,1994,41,male,degree,2,40,$25000 or more,middle class,average,1.0825
404,2000,34,female,no degree,4,40,$25000 or more,middle class,above average,1.0985
405,1985,49,male,no degree,4,40,$25000 or more,working class,average,1.5544
406,2000,28,female,no degree,4,30,$1000 to 2999,working class,average,1.0985
407,2006,45,male,no degree,4,70,$20000 - 24999,working class,far below average,1.7953
408,2008,33,male,degree,6,30,$25000 or more,middle class,below average,0.875489503
409,2006,26,female,no degree,3,40,$4000 to 4999,working class,average,0.9548
410,1974,31,female,no degree,2,20,$5000 to 5999,middle class,below average,0.466
411,1996,32,male,no degree,1,70,$20000 - 24999,lower class,average,0.5432
412,1988,45,female,degree,4,50,$25000 or more,middle class,above average,1.0627
413,1998,42,male,no degree,4,56,$25000 or more,working class,far below average,2.2002
414,1989,48,female,no degree,4,40,$25000 or more,working class,average,2.0429
415,1983,37,male,degree,2,39,$25000 or more,middle class,above average,1.0116
416,1985,33,female,no degree,5,6,$25000 or more,middle class,below average,1.0363
417,1982,61,male,no degree,2,25,$15000 - 19999,middle class,average,1.0319
418,1982,30,female,degree,1,30,$15000 - 19999,working class,average,0.5159
419,1984,59,female,no degree,2,40,$8000 to 9999,working class,average,0.5165
420,1986,71,male,no degree,2,30,$15000 - 19999,working class,average,1.0072
421,2012,26,female,no degree,10,20,$25000 or more,working class,below average,2.47138878
422,2002,42,female,degree,4,60,$25000 or more,middle class,above average,1.1156
423,2014,25,female,no degree,1,45,$20000 - 24999,working class,average,0.690295366
424,1998,29,male,no degree,4,48,$25000 or more,working class,above average,1.1001
425,2014,50,male,degree,2,60,$25000 or more,middle class,above average,0.448001693
426,1994,25,male,no degree,5,40,$15000 - 19999,working class,below average,1.0825
427,1977,42,male,degree,6,55,$25000 or more,upper class,far below average,0.9881
428,1988,42,female,no degree,8,38,$25000 or more,middle class,above average,2.1254
429,1983,27,male,no degree,5,57,$25000 or more,working class,average,2.0233
430,1987,23,male,no degree,2,35,$10000 - 14999,middle class,below average,1.0104
431,2014,40,female,no degree,4,27,$25000 or more,working class,average,0.896003386
432,2014,33,female,no degree,2,50,$25000 or more,working class,average,0.896003386
433,1984,37,female,no degree,4,15,$25000 or more,working class,average,1.0331
434,1996,23,female,no degree,3,40,$25000 or more,working class,above average,1.0864
435,1982,30,male,degree,3,45,$25000 or more,middle class,above average,1.0319
436,1989,62,female,no degree,1,40,$10000 - 14999,working class,below average,0.5107
437,1985,51,female,no degree,4,28,$25000 or more,middle class,above average,1.0363
438,1996,33,female,no degree,3,60,$25000 or more,working class,average,1.0864
439,1990,58,male,degree,2,40,$25000 or more,middle class,above average,1.0627
440,1986,28,male,degree,1,50,$15000 - 19999,working class,average,0.5036
441,1998,45,male,no degree,4,4,$25000 or more,middle class,average,1.1001
442,2004,32,female,degree,5,40,$25000 or more,middle class,average,1.3776
443,2004,19,male,no degree,3,44,$5000 to 5999,middle class,average,0.9184
444,1982,54,male,no degree,3,40,$25000 or more,middle class,above average,1.5478
445,2010,51,male,degree,1,35,$25000 or more,middle class,above average,0.463127684
446,1976,27,male,no degree,8,50,$6000 to 6999,middle class,far below average,1.4563
447,2000,31,male,no degree,1,43,$25000 or more,working class,average,0.5493
448,2016,61,male,no degree,1,70,$25000 or more,working class,average,0.478496756
449,1976,21,female,no degree,2,40,$7000 to 7999,middle class,below average,0.9709
450,1982,43,male,degree,4,40,$25000 or more,working class,average,1.0319
451,2014,57,female,no degree,2,20,$25000 or more,middle class,average,0.896003386
452,2008,87,male,no degree,1,40,$25000 or more,working class,average,0.437744751
453,2014,65,female,no degree,3,40,$25000 or more,middle class,far below average,1.344005078
454,1984,26,male,no degree,2,20,$25000 or more,working class,above average,1.0331
455,1993,39,female,no degree,6,37,$20000 - 24999,working class,average,1.0571
456,2002,34,male,degree,1,88,$25000 or more,middle class,above average,0.5578
457,1994,30,female,no degree,3,44,$25000 or more,working class,average,1.0825
458,1993,23,female,degree,2,30,$10000 - 14999,middle class,above average,1.0571
459,1987,55,male,no degree,2,40,$10000 - 14999,working class,below average,1.0104
460,1994,62,male,degree,1,24,$25000 or more,middle class,average,0.5412
461,2004,37,female,no degree,4,30,$7000 to 7999,working class,average,0.9617
462,1996,37,male,no degree,4,80,$25000 or more,working class,average,1.0864
463,2018,54,female,degree,2,40,$8000 to 9999,working class,average,0.471498555
464,1994,52,female,no degree,2,40,$25000 or more,middle class,average,1.0825
465,1998,41,male,degree,4,60,$25000 or more,upper class,above average,1.1001
466,1993,49,female,no degree,5,80,$25000 or more,working class,average,0.5285
467,1998,32,male,degree,4,40,$25000 or more,working class,average,1.1001
468,1991,40,female,no degree,2,15,$15000 - 19999,working class,below average,1.0621
469,2000,52,male,no degree,2,43,$25000 or more,middle class,above average,1.0985
470,2014,40,male,degree,4,50,$25000 or more,middle class,above average,0.896003386
471,2014,42,female,degree,3,40,$25000 or more,working class,below average,0.690295366
472,1980,59,male,no degree,1,40,$20000 - 24999,middle class,above average,0.5112
473,2018,34,male,no degree,4,53,$25000 or more,lower class,above average,0.94299711
474,2016,58,female,no degree,3,22,$25000 or more,middle class,average,2.346545044
475,2018,50,female,no degree,5,30,$25000 or more,working class,below average,0.94299711
476,1991,52,male,no degree,2,40,$25000 or more,working class,average,1.0621
477,1986,27,female,no degree,3,12,$25000 or more,lower class,far below average,1.5108
478,2008,36,male,no degree,4,86,$25000 or more,working class,average,0.875489503
479,1985,39,male,degree,3,45,$25000 or more,upper class,far above average,1.0363
480,2006,38,male,degree,1,25,$10000 - 14999,lower class,below average,0.4488
481,1985,61,male,no degree,2,30,$25000 or more,middle class,above average,1.0363
482,2014,29,male,degree,1,55,$25000 or more,middle class,above average,0.690295366
483,2000,37,male,no degree,3,50,$25000 or more,working class,average,1.0985
484,2000,32,female,no degree,2,40,$15000 - 19999,lower class,below average,1.0985
485,1982,19,male,no degree,7,20,$15000 - 19999,lower class,average,3.0957
486,1982,29,female,no degree,5,25,$3000 to 3999,lower class,far below average,1.5478
487,1996,48,male,no degree,3,40,$25000 or more,working class,average,1.6295
488,1998,51,male,no degree,1,40,$15000 - 19999,working class,below average,0.5501
489,1987,60,female,degree,2,25,$25000 or more,middle class,above average,1.0104
490,1987,28,male,no degree,3,40,$15000 - 19999,working class,average,1.0104
491,1977,48,male,no degree,3,40,$25000 or more,middle class,above average,1.4822
492,1986,43,female,no degree,2,30,$25000 or more,middle class,above average,1.0072
493,1988,55,female,no degree,1,40,$25000 or more,middle class,average,0.5313
494,1990,61,male,no degree,2,40,$25000 or more,middle class,above average,1.0627
495,2018,52,male,no degree,3,40,$25000 or more,working class,below average,0.94299711
496,1989,18,male,no degree,2,21,$20000 - 24999,middle class,below average,1.0215
497,1982,57,male,no degree,3,75,$20000 - 24999,working class,average,1.5478
498,1980,57,female,no degree,2,40,$20000 - 24999,working class,below average,1.0225
499,2018,55,male,no degree,3,40,$25000 or more,middle class,average,0.94299711
500,1991,57,female,no degree,3,40,$25000 or more,working class,average,1.5932
